epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.8852,1.74124,2.37672,2.01189,0.50957,0.08333,0.008,0.00187,3.06954,18.3628,5.21347,0.000553033,0.000553033,0.000553033
2,71.7251,1.96644,2.58497,2.1774,0.07774,0.21227,0.07266,0.01809,2.39954,5.98773,3.14647,0.00109772,0.00109772,0.00109772
3,106.34,2.01161,2.74569,2.24367,0.19648,0.25648,0.13581,0.04041,2.36884,3.12176,2.96479,0.00163141,0.00163141,0.00163141
4,140.829,1.91521,2.61921,2.13971,0.10225,0.12275,0.04233,0.01297,2.50071,5.38886,3.06188,0.00161749,0.00161749,0.00161749
5,175.114,1.81797,2.48075,2.06117,0.12902,0.33671,0.12924,0.04351,2.01361,2.92566,2.49383,0.00160099,0.00160099,0.00160099
6,209.974,1.81442,2.41545,2.04607,0.07803,0.40541,0.07959,0.02886,2.08453,3.01011,2.52259,0.00158448,0.00158448,0.00158448
7,244.512,1.77162,2.34563,1.99979,0.21403,0.46593,0.1997,0.07802,1.83323,2.6515,2.31668,0.00156798,0.00156798,0.00156798
8,279.287,1.69841,2.25368,1.93412,0.23396,0.37134,0.27953,0.12708,1.82968,2.33014,2.32256,0.00155148,0.00155148,0.00155148
9,313.947,1.67221,2.14055,1.90808,0.48401,0.37528,0.41435,0.1681,1.73424,2.40434,2.23084,0.00153497,0.00153497,0.00153497
10,348.593,1.62933,2.09538,1.88349,0.28285,0.37725,0.30302,0.14308,1.84891,2.18479,2.29347,0.00151847,0.00151847,0.00151847
11,383.053,1.59304,2.00292,1.85719,0.45084,0.41808,0.37854,0.16266,1.72492,2.30258,2.2006,0.00150197,0.00150197,0.00150197
12,417.922,1.57885,1.96904,1.82935,0.43905,0.53773,0.46922,0.20739,1.75808,2.36877,2.21115,0.00148546,0.00148546,0.00148546
13,452.532,1.55615,1.90971,1.80492,0.35268,0.48536,0.41181,0.2016,1.71279,2.08443,2.17567,0.00146896,0.00146896,0.00146896
14,487.126,1.57383,1.94029,1.82649,0.41457,0.42849,0.43088,0.21214,1.66275,2.06643,2.15589,0.00145246,0.00145246,0.00145246
15,521.782,1.53608,1.80693,1.77983,0.61504,0.48789,0.50788,0.26991,1.65214,2.13363,2.09635,0.00143595,0.00143595,0.00143595
16,566.776,1.51454,1.72747,1.76054,0.51625,0.63624,0.56868,0.28189,1.62134,1.8683,2.09896,0.00141945,0.00141945,0.00141945
17,603.319,1.49306,1.73694,1.74878,0.46409,0.61836,0.56401,0.2822,1.54947,1.98307,2.05934,0.00140295,0.00140295,0.00140295
18,638.092,1.46983,1.66825,1.71983,0.60543,0.58102,0.63208,0.32669,1.59823,1.80671,2.09949,0.00138644,0.00138644,0.00138644
19,672.798,1.43288,1.60496,1.70377,0.52336,0.63638,0.61442,0.3381,1.59062,1.81354,2.03328,0.00136994,0.00136994,0.00136994
20,707.43,1.43267,1.60176,1.69361,0.51943,0.66216,0.55432,0.2878,1.64052,1.95033,2.08013,0.00135344,0.00135344,0.00135344
21,742.086,1.41118,1.59521,1.67903,0.67837,0.67717,0.71999,0.36882,1.56711,1.81335,2.03533,0.00133693,0.00133693,0.00133693
22,776.714,1.4307,1.57525,1.68909,0.64724,0.58021,0.65203,0.35829,1.54185,1.79151,2.00855,0.00132043,0.00132043,0.00132043
23,811.194,1.39199,1.52842,1.66761,0.58017,0.74085,0.6909,0.40181,1.51135,1.61744,2.01554,0.00130393,0.00130393,0.00130393
24,845.737,1.38788,1.49923,1.64877,0.81258,0.45918,0.62243,0.33459,1.65941,1.85974,2.18359,0.00128742,0.00128742,0.00128742
25,880.406,1.38271,1.5108,1.659,0.64847,0.71847,0.73238,0.40301,1.49795,1.5278,1.93141,0.00127092,0.00127092,0.00127092
26,915.241,1.35697,1.45385,1.62548,0.64746,0.63679,0.67878,0.37081,1.56579,1.87835,2.03753,0.00125442,0.00125442,0.00125442
27,949.789,1.37589,1.45179,1.65436,0.60395,0.72776,0.69465,0.38453,1.55562,1.67923,1.98584,0.00123791,0.00123791,0.00123791
28,984.539,1.31461,1.3633,1.59064,0.62113,0.61793,0.7028,0.37657,1.48984,1.62923,1.97716,0.00122141,0.00122141,0.00122141
29,1019.14,1.34342,1.38152,1.60992,0.66974,0.6799,0.73596,0.39415,1.54584,1.59344,1.97921,0.00120491,0.00120491,0.00120491
30,1053.83,1.3146,1.34958,1.6002,0.68637,0.70782,0.75746,0.41644,1.50597,1.58259,1.93839,0.0011884,0.0011884,0.0011884
31,1088.62,1.3084,1.35209,1.58232,0.67345,0.69647,0.76832,0.42577,1.5017,1.59387,1.98152,0.0011719,0.0011719,0.0011719
32,1123.33,1.31535,1.34467,1.58789,0.66854,0.654,0.73751,0.42848,1.43369,1.49957,1.88821,0.0011554,0.0011554,0.0011554
33,1157.93,1.28026,1.31625,1.57325,0.64878,0.6793,0.73327,0.41294,1.47943,1.60015,1.92682,0.00113889,0.00113889,0.00113889
34,1192.41,1.27097,1.25717,1.55595,0.72603,0.64896,0.79434,0.43189,1.52738,1.65229,1.98524,0.00112239,0.00112239,0.00112239
35,1227.33,1.23243,1.23342,1.51948,0.69707,0.71734,0.79288,0.45842,1.48737,1.5615,1.9767,0.00110589,0.00110589,0.00110589
36,1261.97,1.23882,1.2292,1.535,0.63795,0.66216,0.73849,0.391,1.50782,1.63502,1.90249,0.00108938,0.00108938,0.00108938
37,1296.6,1.23387,1.22718,1.51995,0.6244,0.68975,0.72903,0.40303,1.55172,1.59946,2.03958,0.00107288,0.00107288,0.00107288
38,1331.17,1.22417,1.22243,1.5174,0.79204,0.6337,0.75717,0.44406,1.40647,1.51066,1.8867,0.00105638,0.00105638,0.00105638
39,1365.77,1.20959,1.20302,1.51212,0.71424,0.69764,0.77159,0.44294,1.5275,1.499,2.01693,0.00103987,0.00103987,0.00103987
40,1400.39,1.20809,1.18313,1.5207,0.67141,0.74381,0.76793,0.44653,1.43798,1.53497,1.87071,0.00102337,0.00102337,0.00102337
41,1435.11,1.23304,1.21569,1.52411,0.75185,0.6726,0.78784,0.46329,1.43583,1.35113,1.86371,0.00100687,0.00100687,0.00100687
42,1469.86,1.19389,1.14447,1.49304,0.63074,0.75056,0.77159,0.44954,1.43511,1.60953,1.91173,0.000990365,0.000990365,0.000990365
43,1504.54,1.1705,1.12373,1.48829,0.66377,0.77562,0.80836,0.46385,1.42585,1.63628,1.90486,0.000973861,0.000973861,0.000973861
44,1539.26,1.20223,1.12679,1.49798,0.76608,0.66578,0.77056,0.47095,1.35922,1.49455,1.83847,0.000957358,0.000957358,0.000957358
45,1573.99,1.15811,1.10147,1.47193,0.71215,0.77252,0.79528,0.49903,1.31741,1.45207,1.79079,0.000940855,0.000940855,0.000940855
46,1608.6,1.17325,1.09617,1.47059,0.84523,0.60264,0.78327,0.4534,1.44743,1.63972,1.867,0.000924352,0.000924352,0.000924352
47,1643.37,1.14456,1.0823,1.45634,0.76935,0.75106,0.82768,0.49502,1.41057,1.38124,1.87997,0.000907848,0.000907848,0.000907848
48,1677.85,1.13268,1.06856,1.45292,0.65943,0.80525,0.8085,0.4869,1.4077,1.46878,1.86964,0.000891345,0.000891345,0.000891345
49,1712.54,1.13015,1.03446,1.46274,0.72514,0.77562,0.81961,0.49953,1.40705,1.45817,1.88731,0.000874842,0.000874842,0.000874842
50,1747.17,1.09729,1.02699,1.4386,0.7149,0.78604,0.84005,0.46891,1.47613,1.43497,1.94446,0.000858338,0.000858338,0.000858338
51,1781.64,1.1061,1.02959,1.43278,0.81302,0.66817,0.81005,0.50269,1.4347,1.39122,1.90562,0.000841835,0.000841835,0.000841835
52,1816.37,1.12282,1.05794,1.4566,0.77157,0.70852,0.82008,0.48045,1.39286,1.33179,1.85196,0.000825332,0.000825332,0.000825332
