epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.765,1.43391,2.72209,1.69874,0.16704,0.10106,0.08225,0.03099,2.55999,3.44572,3.08535,0.000548633,0.000548633,0.000548633
2,34.7969,1.66997,1.93524,1.84076,0.0423,0.18356,0.03093,0.00866,3.38872,3.9036,4.69516,0.00109337,0.00109337,0.00109337
3,51.8382,1.77151,2.01174,1.93888,0.07815,0.13119,0.04523,0.01321,2.4946,4.85619,3.34622,0.0016271,0.0016271,0.0016271
4,68.7536,1.76664,1.9685,1.90794,0.0441,0.16424,0.06377,0.02033,2.35701,3.93092,3.11512,0.00161749,0.00161749,0.00161749
5,85.6721,1.67196,1.90731,1.8463,0.22152,0.28604,0.18087,0.06133,2.54221,2.75154,3.2035,0.00160099,0.00160099,0.00160099
6,102.633,1.65464,1.7839,1.80374,0.16797,0.21903,0.13038,0.05859,2.24273,2.77474,2.76765,0.00158448,0.00158448,0.00158448
7,119.511,1.61668,1.726,1.79258,0.26251,0.39724,0.27389,0.12731,2.22438,2.85362,2.67036,0.00156798,0.00156798,0.00156798
8,136.468,1.53273,1.61195,1.72792,0.47003,0.43468,0.42824,0.18898,1.95815,2.30416,2.50886,0.00155148,0.00155148,0.00155148
9,153.38,1.48751,1.54804,1.69292,0.49464,0.56046,0.55597,0.28521,1.89278,1.6763,2.35698,0.00153497,0.00153497,0.00153497
10,170.441,1.45961,1.48644,1.65974,0.67765,0.60649,0.67914,0.35307,1.63977,1.52262,2.13652,0.00151847,0.00151847,0.00151847
11,187.54,1.45401,1.42506,1.64644,0.55384,0.57967,0.62034,0.30906,1.7894,1.55382,2.25813,0.00150197,0.00150197,0.00150197
12,225.111,1.43213,1.36234,1.63403,0.634,0.40813,0.49283,0.24188,1.82477,2.01892,2.23039,0.00148546,0.00148546,0.00148546
