epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.96967,1.31621,2.50605,1.61629,0.08333,0.22691,0.08897,0.03152,2.97953,3.22889,3.24176,0.000541044,0.000541044,0.000541044
2,19.1441,1.41614,2.04948,1.66083,0.25425,0.3888,0.26259,0.10341,1.76665,3.98065,2.77855,0.00108947,0.00108947,0.00108947
3,28.2478,1.43078,1.89695,1.66107,0.12664,0.32688,0.09795,0.02977,2.6917,12.998,5.4879,0.00163057,0.00163057,0.00163057
4,37.3762,1.49799,1.78831,1.67796,0.05646,0.02703,0.00899,0.00293,4.25445,5.73255,4.59364,0.00163399,0.00163399,0.00163399
5,46.5122,1.46975,1.67046,1.68039,0.11759,0.20974,0.09541,0.02932,3.25517,3.95102,3.47202,0.00162299,0.00162299,0.00162299
6,55.5935,1.42603,1.53209,1.62375,0.25627,0.3965,0.24902,0.10782,2.15865,2.65527,2.58335,0.00161199,0.00161199,0.00161199
7,64.7636,1.39875,1.4533,1.60785,0.43127,0.60811,0.52116,0.23735,1.95733,2.01971,2.51829,0.00160099,0.00160099,0.00160099
8,74.0142,1.3691,1.41559,1.56993,0.54311,0.3972,0.44077,0.18926,1.93099,2.50512,2.4332,0.00158998,0.00158998,0.00158998
9,83.3356,1.31156,1.33395,1.55347,0.64802,0.55152,0.5952,0.30681,1.70287,1.86788,2.15698,0.00157898,0.00157898,0.00157898
10,92.7109,1.28482,1.26594,1.51939,0.45889,0.35755,0.36974,0.17144,2.14497,2.11085,2.68497,0.00156798,0.00156798,0.00156798
11,102.08,1.26756,1.22328,1.49874,0.63109,0.65709,0.63371,0.31962,1.7861,1.48096,2.22347,0.00155698,0.00155698,0.00155698
12,111.5,1.29483,1.1948,1.51521,0.57778,0.34319,0.39276,0.19972,1.85283,2.39633,2.49882,0.00154598,0.00154598,0.00154598
13,121.091,1.2479,1.15574,1.47192,0.65153,0.57066,0.64736,0.33885,1.62331,1.45875,2.10756,0.00153497,0.00153497,0.00153497
14,130.851,1.24951,1.16805,1.49858,0.73304,0.48114,0.64451,0.34916,1.50842,1.52993,1.95913,0.00152397,0.00152397,0.00152397
15,140.327,1.18834,1.07813,1.44444,0.63204,0.52567,0.56362,0.28632,1.86593,1.71571,2.33218,0.00151297,0.00151297,0.00151297
16,149.832,1.18393,1.06982,1.43645,0.7004,0.69764,0.71729,0.40341,1.549,1.38407,1.98428,0.00150197,0.00150197,0.00150197
17,159.408,1.1755,1.05063,1.44047,0.85994,0.64048,0.80189,0.46117,1.54133,1.1631,1.9974,0.00149096,0.00149096,0.00149096
18,169.057,1.14765,1.0175,1.41712,0.67614,0.74482,0.78092,0.45778,1.49215,1.30123,2.0529,0.00147996,0.00147996,0.00147996
19,178.573,1.12367,0.99497,1.40943,0.69265,0.65745,0.75858,0.43145,1.55834,1.23326,2.0273,0.00146896,0.00146896,0.00146896
20,188.007,1.13307,0.97406,1.40327,0.64382,0.68159,0.71528,0.40072,1.49894,1.29739,1.94594,0.00145796,0.00145796,0.00145796
21,197.676,1.12373,0.99102,1.41008,0.75039,0.69918,0.77329,0.4059,1.62139,1.37342,2.10878,0.00144696,0.00144696,0.00144696
22,207.406,1.09206,0.95945,1.39149,0.63623,0.58882,0.61916,0.32724,1.77475,1.58152,2.1791,0.00143595,0.00143595,0.00143595
23,217.06,1.09695,0.93275,1.37858,0.6447,0.69494,0.69927,0.38549,1.53119,1.35181,1.99985,0.00142495,0.00142495,0.00142495
24,226.895,1.05141,0.90941,1.33787,0.71723,0.72419,0.79864,0.46034,1.42254,1.20698,1.90954,0.00141395,0.00141395,0.00141395
25,237.016,1.06774,0.92287,1.38308,0.75478,0.80377,0.84289,0.50462,1.43428,1.13678,1.90972,0.00140295,0.00140295,0.00140295
26,247.153,1.04824,0.88292,1.33728,0.84028,0.67314,0.79618,0.45829,1.4971,1.27014,1.92219,0.00139195,0.00139195,0.00139195
27,257.161,1.02611,0.85365,1.33226,0.74226,0.67103,0.71361,0.39236,1.57882,1.363,2.00511,0.00138094,0.00138094,0.00138094
28,266.986,1.01284,0.83512,1.31227,0.72078,0.79418,0.8427,0.48691,1.42308,1.06048,1.86686,0.00136994,0.00136994,0.00136994
29,276.801,1.01261,0.84941,1.32077,0.83368,0.62269,0.80079,0.45184,1.48633,1.32856,1.97446,0.00135894,0.00135894,0.00135894
30,286.732,0.99845,0.84569,1.31684,0.74433,0.66512,0.74027,0.38956,1.69407,1.41682,2.1642,0.00134794,0.00134794,0.00134794
31,296.681,0.9788,0.82518,1.29476,0.73536,0.83559,0.83328,0.53563,1.31846,0.97976,1.78628,0.00133693,0.00133693,0.00133693
32,306.755,0.97207,0.8185,1.29745,0.83237,0.75479,0.85155,0.48932,1.39327,1.05332,1.91474,0.00132593,0.00132593,0.00132593
33,316.462,0.94405,0.81404,1.2748,0.73291,0.74972,0.78978,0.48096,1.38844,1.09293,1.88765,0.00131493,0.00131493,0.00131493
34,326.119,0.95611,0.78306,1.29808,0.71214,0.71687,0.77834,0.44087,1.47424,1.18307,1.94315,0.00130393,0.00130393,0.00130393
35,335.833,0.91076,0.75417,1.2424,0.79789,0.70186,0.82314,0.50156,1.33017,1.13594,1.83737,0.00129293,0.00129293,0.00129293
36,345.526,0.90918,0.73959,1.25393,0.73477,0.74528,0.81671,0.52393,1.32232,1.24849,1.75424,0.00128192,0.00128192,0.00128192
37,355.096,0.89552,0.71521,1.24191,0.79014,0.77825,0.82667,0.45208,1.49383,1.13771,1.92945,0.00127092,0.00127092,0.00127092
38,366.199,0.88799,0.72049,1.24345,0.74541,0.83487,0.82646,0.51411,1.38322,1.01449,1.86245,0.00125992,0.00125992,0.00125992
39,376.673,0.9006,0.72909,1.25839,0.87199,0.77436,0.88482,0.51697,1.37691,0.98879,1.84294,0.00124892,0.00124892,0.00124892
40,386.893,0.90175,0.74519,1.26113,0.77799,0.78041,0.85726,0.52147,1.30066,1.02126,1.77174,0.00123791,0.00123791,0.00123791
41,396.258,0.89078,0.71699,1.23833,0.83634,0.68972,0.81415,0.48592,1.42481,1.3476,1.95442,0.00122691,0.00122691,0.00122691
42,405.679,0.84975,0.70137,1.20871,0.65551,0.78874,0.78603,0.46001,1.46792,1.13245,1.99852,0.00121591,0.00121591,0.00121591
43,415.103,0.85559,0.67751,1.2251,0.66649,0.64701,0.73445,0.43839,1.51094,1.25337,1.9657,0.00120491,0.00120491,0.00120491
44,424.444,0.8499,0.68249,1.21573,0.76956,0.73205,0.79336,0.47667,1.39304,1.08445,1.89231,0.00119391,0.00119391,0.00119391
45,433.848,0.82994,0.65466,1.1967,0.75889,0.71847,0.81892,0.50558,1.35858,1.05138,1.85853,0.0011829,0.0011829,0.0011829
46,443.36,0.84969,0.66141,1.22027,0.76053,0.80308,0.79615,0.48219,1.43067,1.05559,1.91414,0.0011719,0.0011719,0.0011719
47,452.849,0.84382,0.64897,1.21015,0.6759,0.75056,0.78197,0.45066,1.48763,1.11309,1.96126,0.0011609,0.0011609,0.0011609
48,462.34,0.82714,0.64899,1.2076,0.77745,0.8522,0.86546,0.52348,1.34423,0.92878,1.86205,0.0011499,0.0011499,0.0011499
49,472.085,0.80909,0.63469,1.20066,0.72004,0.76545,0.8006,0.47678,1.37366,1.08846,1.8766,0.00113889,0.00113889,0.00113889
50,481.864,0.79421,0.63554,1.19001,0.75586,0.77449,0.84276,0.49744,1.41072,1.07922,1.96083,0.00112789,0.00112789,0.00112789
51,491.707,0.82846,0.65444,1.20295,0.71656,0.70636,0.79695,0.48469,1.42828,1.25033,1.94143,0.00111689,0.00111689,0.00111689
52,501.249,0.80684,0.62551,1.2007,0.71789,0.6712,0.75578,0.4454,1.53773,1.20014,2.01342,0.00110589,0.00110589,0.00110589
53,510.684,0.77915,0.60475,1.16839,0.74737,0.86205,0.88251,0.54325,1.40291,0.97609,1.95464,0.00109489,0.00109489,0.00109489
